dia,raw,n_celdas,origen
2026-08-19,-0.0001256674295291,-1,LIVE
2026-08-20,-0.0001253775990335,-1,LIVE
2026-08-24,-0.000126047496451,14,LIVE
2026-08-25,-0.000126099170302,14,LIVE
2026-08-26,-0.0001271535147679,13,LIVE
2026-08-27,-0.0001269813510589,13,LIVE
2026-08-28,-0.0001261776778846,13,LIVE
2026-08-31,-0.0001257097173947,13,LIVE
2026-09-01,-0.0001235169766005,14,LIVE
2026-09-02,-0.0001241493155248,13,LIVE
2026-09-03,-0.0001203930369229,10,RECUPERADO
2026-09-04,-0.0001205011867568,10,RECUPERADO
2026-09-08,-0.0001219351106556,10,RECUPERADO
2026-09-09,-0.0001249798515345,11,LIVE
2026-09-10,-0.0001258822740055,11,LIVE
2026-09-11,-0.0001245947059942,11,LIVE
2026-09-14,-0.0001207332315971,9,LIVE
2026-09-17,-0.0001218653997057,8,LIVE
2026-09-22,-0.0001254744129255,8,LIVE
